Name of fjord,Length (km/mi),County,Municipality,Coordinates
Adventfjorden,4 km (2.5 mi),Svalbard,Spitsbergen,".mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}78°15′31″N 15°33′13″E﻿ / ﻿78.2585°N 15.5535°E"
Altafjorden,38 km (24 mi),Finnmark,Alta,69°59′24″N 23°19′27″E﻿ / ﻿69.990°N 23.3242°E
Arasvikfjord,12 km (7.5 mi),Møre og Romsdal,"Aure, Halsa",63°09′02″N 8°25′07″E﻿ / ﻿63.1505°N 8.4186°E
Astafjorden,30 km (19 mi),Troms,Skånland,68°47′15″N 17°14′40″E﻿ / ﻿68.7875°N 17.2445°E
Austefjorden,11 km (6.8 mi),Møre og Romsdal,Volda,62°05′07″N 6°09′01″E﻿ / ﻿62.0853°N 6.1504°E
"Austfjorden, Hordaland",20 km (12 mi),Hordaland,"Lindås, Masfjorden",60°43′22″N 5°21′54″E﻿ / ﻿60.7227°N 5.3651°E
"Austfjorden, Svalbard",32 km (20 mi),Svalbard,Spitsbergen,79°03′50″N 16°09′28″E﻿ / ﻿79.0638°N 16.1578°E
Badderfjord,5 km (3.1 mi),Troms,Kvænangen,69°51′12″N 21°58′19″E﻿ / ﻿69.8533°N 21.9720°E
Balsfjorden,57 km (35 mi),Troms,"Balsfjord, Tromsø",69°18′40″N 19°20′47″E﻿ / ﻿69.3112°N 19.3464°E
Batnfjord,10 km (6.2 mi),Møre og Romsdal,Gjemnes,62°54′23″N 7°42′06″E﻿ / ﻿62.9064°N 7.7016°E
Beitstadfjorden,28 km (17 mi),Trøndelag,"Inderøy, Steinkjer, Verran",63°56′03″N 11°06′28″E﻿ / ﻿63.9342°N 11.1079°E
Bindalsfjorden,26 km (16 mi),Nordland,Bindal,65°12′25″N 12°08′01″E﻿ / ﻿65.2070°N 12.1336°E
Billefjorden,30 km (19 mi),Svalbard,Spitsbergen,78°31′49″N 16°18′25″E﻿ / ﻿78.5304°N 16.3070°E
Bjugnfjorden,14 km (8.7 mi),Trøndelag,"Bjugn, Ørland",63°44′36″N 9°34′43″E﻿ / ﻿63.7434°N 9.5786°E
Bjørnafjorden,32 km (20 mi),Hordaland,"Austevoll, Fusa, Os, Tysnes",60°05′56″N 5°23′06″E﻿ / ﻿60.0989°N 5.3851°E
Boknafjord,94 km (58 mi),Rogaland,"Kvitsøy, Rennesøy, Finnøy, Tysvær, Bokn, Karmøy",59°07′09″N 5°24′22″E﻿ / ﻿59.1193°N 5.4061°E
Breviksfjord,5 km (3.1 mi),Telemark,"Bamble, Porsgrunn",59°01′45″N 9°44′06″E﻿ / ﻿59.0293°N 9.7351°E
Bunnefjorden,17 km (11 mi),"Akershus, Oslo","Frogn, Nesodden, Oppegård, Oslo, Ås",59°44′41″N 10°43′20″E﻿ / ﻿59.7446°N 10.7221°E
"Byfjorden, Hordaland",14 km (8.7 mi),Hordaland,"Askøy, Bergen",60°25′24″N 5°16′06″E﻿ / ﻿60.4233°N 5.2682°E
"Byfjorden, Rogaland",10 km (6.2 mi),Rogaland,"Randaberg, Rennesøy, Stavanger",58°59′47″N 5°41′35″E﻿ / ﻿58.9964°N 5.6931°E
Bøkfjord,22 km (14 mi),Finnmark,Sør-Varanger,69°44′34″N 30°03′08″E﻿ / ﻿69.7429°N 30.0521°E
Bømlafjorden,31 km (19 mi),Hordaland,"Bømlo, Stord, Sveio",59°37′49″N 5°18′06″E﻿ / ﻿59.6303°N 5.3016°E
"Dalsfjorden, Møre og Romsdal",17 km (11 mi),Møre og Romsdal,Volda,62°05′28″N 5°55′53″E﻿ / ﻿62.0912°N 5.9314°E
"Dalsfjorden, Sogn og Fjordane",40 km (25 mi),Sogn og Fjordane,"Askvoll, Fjaler, Gaular",61°21′08″N 5°12′29″E﻿ / ﻿61.3523°N 5.2081°E
Dicksonfjorden,30 km (19 mi),Svalbard,Spitsbergen,78°38′29″N 15°19′47″E﻿ / ﻿78.6413°N 15.3296°E
Drammensfjord,30 km (19 mi),"Buskerud, Vestfold","Drammen, Hurum, Lier, Røyken, Svelvik",59°42′18″N 10°18′48″E﻿ / ﻿59.7051°N 10.3133°E
Duvefjorden,35 km (22 mi),Svalbard,Nordaustlandet,80°22′02″N 23°39′58″E﻿ / ﻿80.3672°N 23.6661°E
Edøyfjorden,26 km (16 mi),Møre og Romsdal,"Smøla, Aure",63°18′23″N 8°14′09″E﻿ / ﻿63.3064°N 8.2357°E
Eidangerfjord,6 km (3.7 mi),Telemark,Porsgrunn,59°04′19″N 9°42′27″E﻿ / ﻿59.0719°N 9.7074°E
Eidsfjorden,30 km (19 mi),Nordland,Sortland,68°36′18″N 14°39′53″E﻿ / ﻿68.6050°N 14.6646°E
Ekmanfjorden,18 km (11 mi),Svalbard,Spitsbergen,78°39′44″N 14°37′00″E﻿ / ﻿78.6623°N 14.6167°E
Eresfjorden,10 km (6.2 mi),Møre og Romsdal,Nesset,62°43′48″N 8°03′51″E﻿ / ﻿62.7300°N 8.0641°E
Erfjorden,16 km (9.9 mi),Rogaland,"Hjelmeland, Suldal",59°18′38″N 6°10′31″E﻿ / ﻿59.3106°N 6.1753°E
Esefjorden,4 km (2.5 mi),Sogn og Fjordane,Balestrand,61°13′01″N 6°30′31″E﻿ / ﻿61.2169°N 6.5085°E
Etnefjorden,8.5 km (5.3 mi),Hordaland,Etne,59°38′49″N 5°49′24″E﻿ / ﻿59.647°N 5.8232°E
Fanafjorden,8.5 km (5.3 mi),Hordaland,Bergen,60°15′18″N 5°18′47″E﻿ / ﻿60.2551°N 5.3131°E
Fannefjord,20 km (12 mi),Møre og Romsdal,Molde,62°44′28″N 7°18′13″E﻿ / ﻿62.7410°N 7.3036°E
Finnøyfjord,14 km (8.7 mi),Rogaland,Finnøy,59°08′30″N 5°52′53″E﻿ / ﻿59.1417°N 5.8813°E
Fisterfjord,11 km (6.8 mi),Rogaland,"Finnøy, Hjelmeland",59°09′54″N 6°01′22″E﻿ / ﻿59.1651°N 6.0227°E
Fognafjord,18 km (11 mi),Rogaland,"Finnøy, Strand",59°07′25″N 5°56′05″E﻿ / ﻿59.1235°N 5.9347°E
"Folda, Nordland",18 km (11 mi),Nordland,"Bodø, Steigen",67°35′21″N 14°53′40″E﻿ / ﻿67.5893°N 14.8944°E
